title,description,Genre,Actors,Poster,imdb_score,tags
Jaane Tu... Ya Jaane Na,Two best friends being convinced that they are not in love search for each other's love.,"Comedy, Drama, Romance","Manjari Fadnnis, Imran Khan, Genelia D'Souza, Ayaz Khan",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NzI2MDkzOF5BMl5BanBnXkFtZTcwODA5NTk5Mw@@._V1_SX300.jpg,7.4,"Two best friends being convinced that they are not in love search for each other's love.MOVIEComedy, Drama, RomanceINManjari Fadnnis, Imran Khan, Genelia D'Souza, Ayaz Khan"
Mukhsin,"A twelve-year-old Malaysian boy's friendship with a sharp-tongued, assertive little girl moves awkwardly and wistfully into first love in this gently comic prequel to Yasmin Ahmad's ""Sepet"" and ""Gubra.""","Comedy, Drama, Family","Mohd Syafie Naswip, Salehuddin Abu Bakar, Sharifah Aryana, Yasmin Ahmad",https://m.media-amazon.com/images/M/MV5BZTgxNGY3NDktNWZhMi00MTdkLTkyN2UtYWM2ZjIyNGY4ZTM2XkEyXkFqcGdeQXVyMzY3MDU4NDk@._V1_SX300.jpg,7.3,"A twelve-year-old Malaysian boy's friendship with a sharp-tongued, assertive little girl moves awkwardly and wistfully into first love in this gently comic prequel to Yasmin Ahmad's ""Sepet"" and ""Gubra.""MOVIEComedy, Drama, FamilyMYMohd Syafie Naswip, Salehuddin Abu Bakar, Sharifah Aryana, Yasmin Ahmad"
Apaharan,"Story of a tumultuous and complex relationship between a father (Mohan Agashe) and son (Ajay Devgan), set against the backdrop of a thriving kidnapping industry in the Hindi heartland of Bihar.","Action, Crime, Drama","Ayub Khan, Ajay Devgn, Bipasha Basu, Nana Patekar",https://m.media-amazon.com/images/M/MV5BNmMxZWVlN2YtZmQ0Ny00OWI0LThhZDQtNTFjMzMzNGVjYWUwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.4,"Story of a tumultuous and complex relationship between a father (Mohan Agashe) and son (Ajay Devgan), set against the backdrop of a thriving kidnapping industry in the Hindi heartland of Bihar.MOVIEAction, Crime, DramaINAyub Khan, Ajay Devgn, Bipasha Basu, Nana Patekar"
Chup Chup Ke,"A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.","Comedy, Drama, Romance","Kareena Kapoor, Neha Dhupia, Shahid Kapoor, Paresh Rawal",http://ia.media-imdb.com/images/M/MV5BMTg3MTMzNjUwOF5BMl5BanBnXkFtZTcwODgxODMzMQ@@._V1_SX300.jpg,6.9,"A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.MOVIEComedy, Drama, RomanceINKareena Kapoor, Neha Dhupia, Shahid Kapoor, Paresh Rawal"
Manorama Six Feet Under,"Satyaveer is an engineer suspended for allegedly accepting a bribe. However, Satyaveer, proud author of a tawdry and thoroughly unsuccessful crime novel, is approached by a woman named Manorama to investigate her husband, whom she suspects of having an affair.","Crime, Drama, Mystery, Thriller","Gul Panag, Abhay Deol, Raima Sen, Sarika",https://images-na.ssl-images-amazon.com/images/M/MV5BOGNjN2M4MDItMzc3YS00ZjdiLTlhMDMtYjk0OWQzMzc1ZjRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,7.6,"Satyaveer is an engineer suspended for allegedly accepting a bribe. However, Satyaveer, proud author of a tawdry and thoroughly unsuccessful crime novel, is approached by a woman named Manorama to investigate her husband, whom she suspects of having an affair.MOVIECrime, Drama, Mystery, ThrillerINGul Panag, Abhay Deol, Raima Sen, Sarika"
Sergio,"Charismatic, charming and complex, Sérgio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. The documentary tells the story of his most treacherous mission ever... a mission in which his own life hangs in the balance.","Biography, Drama, History, Romance","Wagner Moura, Brían F. O'Byrne, Ana de Armas, Bradley Whitford",https://m.media-amazon.com/images/M/MV5BMzIwYzQ3MTMtNjBjZC00M2ZiLTkzMzctYjZhOWM1ZTAxMTdiXkEyXkFqcGdeQXVyODkwODgyNTY@._V1_SX300.jpg,7.4,"Charismatic, charming and complex, Sérgio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. The documentary tells the story of his most treacherous mission ever... a mission in which his own life hangs in the balance.MOVIEBiography, Drama, History, RomanceUSWagner Moura, Brían F. O'Byrne, Ana de Armas, Bradley Whitford"
Luck by Chance,"Not wanting the same fate as befell her sisters, Sona Mishra re-locates to Mumbai to try to make a living making movies, but she soon finds that the path she has chosen is not an easy one.",Drama,"Konkona Sen Sharma, Dimple Kapadia, Farhan Akhtar, Rishi Kapoor",http://ia.media-imdb.com/images/M/MV5BMTY4NjIxNDc3Nl5BMl5BanBnXkFtZTcwNDc4NTk5Mw@@._V1_SX300.jpg,7.1,"Not wanting the same fate as befell her sisters, Sona Mishra re-locates to Mumbai to try to make a living making movies, but she soon finds that the path she has chosen is not an easy one.MOVIEDramaINKonkona Sen Sharma, Dimple Kapadia, Farhan Akhtar, Rishi Kapoor"
Karthik Calling Karthik,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.","Drama, Mystery, Thriller","Deepika Padukone, Farhan Akhtar, Shefali Shah, Ram Kapoor",https://m.media-amazon.com/images/M/MV5BMTg4NzUyNDExMl5BMl5BanBnXkFtZTcwOTg3NTk5Mw@@._V1_SX300.jpg,7.1,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.MOVIEDrama, Mystery, ThrillerINDeepika Padukone, Farhan Akhtar, Shefali Shah, Ram Kapoor"
Ajab Prem Ki Ghazab Kahani,"When his love interest doesn't show up for a meeting, a man and his friends go to Goa in order to find her, where they discover she loves someone else.","Action, Comedy, Romance","Katrina Kaif, Darshan Jariwala, Smita Jaykar, Ranbir Kapoor",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjAwNzYxOV5BMl5BanBnXkFtZTcwNzA4NTk5Mw@@._V1_SX300.jpg,6.3,"When his love interest doesn't show up for a meeting, a man and his friends go to Goa in order to find her, where they discover she loves someone else.MOVIEAction, Comedy, RomanceINKatrina Kaif, Darshan Jariwala, Smita Jaykar, Ranbir Kapoor"
Dhan Dhana Dhan Goal,A bankrupt soccer team must win the championship or break apart.,"Drama, Sport","John Abraham, Arshad Warsi, Boman Irani, Bipasha Basu",https://m.media-amazon.com/images/M/MV5BZDFmNjliNGItZTk5MS00MWM0LWFjMzQtODNhNzJhODNmMTQ3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,5.0,"A bankrupt soccer team must win the championship or break apart.MOVIEDrama, SportINJohn Abraham, Arshad Warsi, Boman Irani, Bipasha Basu"
Yuva,"Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.","Action, Drama, Thriller","Abhishek Bachchan, Rani Mukerji, Ajay Devgn, Vivek Oberoi",https://images-na.ssl-images-amazon.com/images/M/MV5BNThiZjYxNDItMGQxYy00ODU0LWFmM2YtOTQyZmU3ZWI5ZjFmXkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg,7.3,"Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.MOVIEAction, Drama, ThrillerINAbhishek Bachchan, Rani Mukerji, Ajay Devgn, Vivek Oberoi"
Fashion,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life.,Drama,"Priyanka Chopra, Mugdha Godse, Arbaaz Khan, Kangana Ranaut",http://ia.media-imdb.com/images/M/MV5BMTkxNzg4NDI0OV5BMl5BanBnXkFtZTcwNzIyMjk5MQ@@._V1_SX300.jpg,6.9,"A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life.MOVIEDramaINPriyanka Chopra, Mugdha Godse, Arbaaz Khan, Kangana Ranaut"
Peepli Live,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.","Comedy, Drama","Shalini Vatsa, Raghuvir Yadav, Omkar Das Manikpuri, Farrukh Jaffar",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzEzNjYyNl5BMl5BanBnXkFtZTcwOTg1MDI3Mw@@._V1_SX300.jpg,7.4,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.MOVIEComedy, DramaINShalini Vatsa, Raghuvir Yadav, Omkar Das Manikpuri, Farrukh Jaffar"
Lakshya,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.","Action, Drama, Romance, War","Om Puri, Hrithik Roshan, Preity Zinta, Amitabh Bachchan",https://m.media-amazon.com/images/M/MV5BY2Y0NjY5ZTctZWMzNC00MDQ4LTkyMWUtOGZkMzk4NWNhYWI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.8,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.MOVIEAction, Drama, Romance, WarINOm Puri, Hrithik Roshan, Preity Zinta, Amitabh Bachchan"
Trailer Park Boys: Say Goodnight to the Bad Guys,"""Say goodnight to the bad guys"" picks up where ""A Sh*t river runs through it"" left off. it's a year after the events of A.S.R.R.T.I and Ricky, Julian, and bubbles are rich with cash, but Julian sits on the money for a year claiming ""movies like casino prove that waving money around right away is a bad idea."" and then hides it in his newly purchased Delorean (AKA car from back to the future)",Comedy,"Robb Wells, John Paul Tremblay, Patrick Roach, John Dunsworth",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNDkyMTk5Ml5BMl5BanBnXkFtZTcwNzIyMzA3Nw@@._V1_SX300.jpg,7.8,"""Say goodnight to the bad guys"" picks up where ""A Sh*t river runs through it"" left off. it's a year after the events of A.S.R.R.T.I and Ricky, Julian, and bubbles are rich with cash, but Julian sits on the money for a year claiming ""movies like casino prove that waving money around right away is a bad idea."" and then hides it in his newly purchased Delorean (AKA car from back to the future)MOVIEComedyCARobb Wells, John Paul Tremblay, Patrick Roach, John Dunsworth"
Tony Manero,"A man is obsessed with John Travolta's disco dancing character from ""Saturday Night Fever"".","Drama, Music","Alfredo Castro, Paola Lattus, Amparo Noguera, Héctor Morales",http://ia.media-imdb.com/images/M/MV5BMTY5ODQ3NzI3MV5BMl5BanBnXkFtZTcwNzM5NDA4MQ@@._V1_SX300.jpg,6.8,"A man is obsessed with John Travolta's disco dancing character from ""Saturday Night Fever"".MOVIEDrama, MusicCLAlfredo Castro, Paola Lattus, Amparo Noguera, Héctor Morales"
Do Dooni Chaar,A middle-class father in India struggles through a series of unexpected events for upholding respect and smiles.,"Comedy, Drama","Neetu Singh, Aditi Vasudev, Archit Krishna, Rishi Kapoor",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNjAwNDQ0MV5BMl5BanBnXkFtZTgwMTMwNTA2MDE@._V1_SX300.jpg,7.5,"A middle-class father in India struggles through a series of unexpected events for upholding respect and smiles.MOVIEComedy, DramaINNeetu Singh, Aditi Vasudev, Archit Krishna, Rishi Kapoor"
Wake Up Sid,"Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.","Comedy, Drama, Romance","Anupam Kher, Konkona Sen Sharma, Supriya Pathak, Ranbir Kapoor",https://ia.media-imdb.com/images/M/MV5BMDc1ZDBkODMtYjI0MC00NDcyLWFhMGUtYzM4NDQyMzgyYzg1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,7.6,"Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.MOVIEComedy, Drama, RomanceINAnupam Kher, Konkona Sen Sharma, Supriya Pathak, Ranbir Kapoor"
Awara Paagal Deewana,"Awara Paagal Deewana ((Hindi: आवारा पागल दीवाना), English: Wayward, Crazy, Insane) is a 2002 Bollywood action comedy directed by Vikram Bhatt. The film's music was composed by Anu Malik, and the lyrics by Sameer. Reduced to a henpecked husband, his dream of making it big and being independent in the USA, Dr. Anmol Acharya is, in short, disillusioned and sad. He is not alone, he has his father-in-law, Manilal in the same leaky boat with him. Then this family has a new neighbor, namely Gulu Gulab Khatri. They find out that he a crime lord from India, and has a price-tag of two crore rupees on his head. Anmol and Manilal's wife want their respective husbands to go to India and arrange to hand-over Khatri, so they can collect the dough. Anmol and Manilal do go to India, but things don't go well as planned, and the hapless duo end up as hostages by Chota Chatri and Yeda Anna, who have orders to kill Khatri, and anyone else who gets in their way.","Action, Comedy, Crime, Drama, Thriller","Sunil Shetty, Aftab Shivdasani, Akshay Kumar, Paresh Rawal",https://m.media-amazon.com/images/M/MV5BOGNiZDYxYWUtZGQ1MS00YmFjLWE2MTQtMzUzODAwYTE3NGZjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,6.2,"Awara Paagal Deewana ((Hindi: आवारा पागल दीवाना), English: Wayward, Crazy, Insane) is a 2002 Bollywood action comedy directed by Vikram Bhatt. The film's music was composed by Anu Malik, and the lyrics by Sameer. Reduced to a henpecked husband, his dream of making it big and being independent in the USA, Dr. Anmol Acharya is, in short, disillusioned and sad. He is not alone, he has his father-in-law, Manilal in the same leaky boat with him. Then this family has a new neighbor, namely Gulu Gulab Khatri. They find out that he a crime lord from India, and has a price-tag of two crore rupees on his head. Anmol and Manilal's wife want their respective husbands to go to India and arrange to hand-over Khatri, so they can collect the dough. Anmol and Manilal do go to India, but things don't go well as planned, and the hapless duo end up as hostages by Chota Chatri and Yeda Anna, who have orders to kill Khatri, and anyone else who gets in their way.MOVIEAction, Comedy, Crime, Drama, ThrillerINSunil Shetty, Aftab Shivdasani, Akshay Kumar, Paresh Rawal"
The Unjust,An honest cop has to compromise with his principles when he is told to find a scapegoat for a high-profile serial killer case in exchange for a big promotion.,"Action, Crime, Drama","Ho-jin Chun, Hwang Jung-min, Hae-Jin Yoo, Seung-bum Ryoo",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTI5ODIzMl5BMl5BanBnXkFtZTgwNzI3MDE0MjE@._V1_SX300.jpg,6.6,"An honest cop has to compromise with his principles when he is told to find a scapegoat for a high-profile serial killer case in exchange for a big promotion.MOVIEAction, Crime, DramaKRHo-jin Chun, Hwang Jung-min, Hae-Jin Yoo, Seung-bum Ryoo"
Gangaajal,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.","Action, Crime, Drama","Mohan Joshi, Ajay Devgn, Gracy Singh, Yashpal Sharma",https://m.media-amazon.com/images/M/MV5BYjRjOWViZTgtYjA4Ny00MWJiLTkxYzktMzdlOGRmMWYwOTdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,7.8,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.MOVIEAction, Crime, DramaINMohan Joshi, Ajay Devgn, Gracy Singh, Yashpal Sharma"
Chalte Chalte,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,"Drama, Romance","Rani Mukerji, Shah Rukh Khan, Satish Shah, Jas Arora",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NzQ5NzMxOF5BMl5BanBnXkFtZTcwOTIwMDE0MQ@@._V1_SX300.jpg,6.5,"A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.MOVIEDrama, RomanceINRani Mukerji, Shah Rukh Khan, Satish Shah, Jas Arora"
Mumbai Meri Jaan,"Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal.",Drama,"Kay Kay Menon, Irrfan Khan, Madhavan, Paresh Rawal",https://m.media-amazon.com/images/M/MV5BMjI5MTg2OTQyM15BMl5BanBnXkFtZTgwNTE3MjA2MDE@._V1_SX300.jpg,7.7,"Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal.MOVIEDramaINKay Kay Menon, Irrfan Khan, Madhavan, Paresh Rawal"
Aamir,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,"Action, Crime, Drama, Thriller","Rajeev Khandelwal, Aishwarya, Vasan Bala, Chinkal",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NTU4OTIzNl5BMl5BanBnXkFtZTgwODE2MjA2MDE@._V1_SX300.jpg,7.6,"A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.MOVIEAction, Crime, Drama, ThrillerINRajeev Khandelwal, Aishwarya, Vasan Bala, Chinkal"
Ishq Vishk,"Rajiv Mathur decides to go conditionally steady with fellow collegian, Payal, so that be can be permitted to go on an outing. Payal accepts, and accompanies him. During the outing, he gets intoxicated, and attempts to molest her, and she decides to dump him. Thereafter, slighted but not beaten - Rajiv turns on his charms on another beauty - the gorgeous Alisha Sahay. But will she be as permissible as Payal?","Comedy, Romance","Amrita Rao, Shenaz Treasury, Shahid Kapoor, Vishal Malhotra",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NDkxNTY0MV5BMl5BanBnXkFtZTcwNjc4NzUyMQ@@._V1_SX300.jpg,6.1,"Rajiv Mathur decides to go conditionally steady with fellow collegian, Payal, so that be can be permitted to go on an outing. Payal accepts, and accompanies him. During the outing, he gets intoxicated, and attempts to molest her, and she decides to dump him. Thereafter, slighted but not beaten - Rajiv turns on his charms on another beauty - the gorgeous Alisha Sahay. But will she be as permissible as Payal?MOVIEComedy, RomanceINAmrita Rao, Shenaz Treasury, Shahid Kapoor, Vishal Malhotra"
The Legend of Bhagat Singh,"Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.","Action, Biography, Drama, History","Ajay Devgn, D. Santosh, Sushant Singh, Akhilendra Mishra",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NGRhMWMtZDdkOS00ZjcxLWI2OTAtOTI3ZWU0YWM3MGM5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,8.1,"Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.MOVIEAction, Biography, Drama, HistoryINAjay Devgn, D. Santosh, Sushant Singh, Akhilendra Mishra"
Under the Bombs,"In the wake of Israel's 2006 bombardment of Lebanon, a determined woman finds her way into the country convincing a taxi driver to take a risky journey around the scarred region in search of her sister and her son.","Drama, Romance, War","Rawia Elchab, Georges Khabbaz, Bshara Atallah, Nada Abou Farhat",http://ia.media-imdb.com/images/M/MV5BMjA0ODczNTg2Nl5BMl5BanBnXkFtZTcwNjU4MzkzMg@@._V1_SX300.jpg,7.0,"In the wake of Israel's 2006 bombardment of Lebanon, a determined woman finds her way into the country convincing a taxi driver to take a risky journey around the scarred region in search of her sister and her son.MOVIEDrama, Romance, WarGB, FR, LBRawia Elchab, Georges Khabbaz, Bshara Atallah, Nada Abou Farhat"
Race,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant Mini","Biography, Drama, Sport","Stephan James, Eli Goree, Jason Sudeikis, Shanice Banton",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3MDM1MDU2NF5BMl5BanBnXkFtZTgwMzM3OTIzNzE@._V1_SX300.jpg,6.9,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant MiniMOVIEBiography, Drama, SportINStephan James, Eli Goree, Jason Sudeikis, Shanice Banton"
Race,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant Mini","Action, Crime, Drama, Thriller","Katrina Kaif, Saif Ali Khan, Akshaye Khanna, Bipasha Basu",http://ia.media-imdb.com/images/M/MV5BOTUxODczMjI3MV5BMl5BanBnXkFtZTcwMTExODM2MQ@@._V1_SX300.jpg,6.9,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant MiniMOVIEAction, Crime, Drama, ThrillerINKatrina Kaif, Saif Ali Khan, Akshaye Khanna, Bipasha Basu"
Udaan,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",Drama,"Manjot Singh, Ronit Roy, Rajat Barmecha, Ram Kapoor",https://m.media-amazon.com/images/M/MV5BNzgxMzExMzUwNV5BMl5BanBnXkFtZTcwMDc2MjUwNA@@._V1_SX300.jpg,8.1,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.MOVIEDramaINManjot Singh, Ronit Roy, Rajat Barmecha, Ram Kapoor"
The Beast Stalker,"Sergeant Tong is wracked with guilt after he unwittingly kills a young girl whilst capuring a criminal named Cheung. When the girl's sister is later kidnapped in a ploy to get Cheung released, Sergeant Tong vows to find and rescue her before she comes to harm.","Action, Thriller","Jingchu Zhang, Nicholas Tse, Pu Miao, Nick Cheung",https://images-na.ssl-images-amazon.com/images/M/MV5BMzAzYTNjZmEtMTViYS00NDY5LTg4ZjQtOGIzZTQ5ZWYzZTEzXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,6.8,"Sergeant Tong is wracked with guilt after he unwittingly kills a young girl whilst capuring a criminal named Cheung. When the girl's sister is later kidnapped in a ploy to get Cheung released, Sergeant Tong vows to find and rescue her before she comes to harm.MOVIEAction, ThrillerHKJingchu Zhang, Nicholas Tse, Pu Miao, Nick Cheung"
Raajneeti,"It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond.","Crime, Drama, Thriller","Katrina Kaif, Ajay Devgn, Ranbir Kapoor, Nana Patekar",http://ia.media-imdb.com/images/M/MV5BMTkwMzE5NzE3Nl5BMl5BanBnXkFtZTcwMDMyODE1Mw@@._V1_SX300.jpg,7.1,"It is the story of a fiercely fought election campaign, where money power and corruption are the accepted norms, and where treachery and manipulation are routinely used weapons. As the personal drama of these conflict-ridden characters unfolds against this gritty backdrop, love and friendship become mere baits, and relationships get sacrificed at the altar of political alignments. The darkness that rises from their souls threatens to envelope all that they hold precious. Until eventually, in the crescendo of increasing violence, the line between good and evil blurs, making it impossible to distinguish heroes from villains. Raajneeti is the story of Indian democracy. And its ugly underside. It is about politics. And beyond.MOVIECrime, Drama, ThrillerINKatrina Kaif, Ajay Devgn, Ranbir Kapoor, Nana Patekar"
Well Done Abba,"This is the story of Armaan Ali, a driver working for a senior executive in Mumbai. He takes a month's leave to find a husband for his teenage daughter, who lives near Hyderabad. When he is delayed and returns to work after three months, his employer threatens to sack him. But he is persuaded to listen to the reason for Armaan Ali's delay. The story he relates is delightful, hilarious -- and poignant.",Comedy,"Boman Irani, Ila Arun, Sammir Dattani, Minissha Lamba",http://ia.media-imdb.com/images/M/MV5BN2QzMzM0OTgtNzBmYi00ZDU3LWJmMzEtZTQ1OGYzZmEyMGUxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,7.2,"This is the story of Armaan Ali, a driver working for a senior executive in Mumbai. He takes a month's leave to find a husband for his teenage daughter, who lives near Hyderabad. When he is delayed and returns to work after three months, his employer threatens to sack him. But he is persuaded to listen to the reason for Armaan Ali's delay. The story he relates is delightful, hilarious -- and poignant.MOVIEComedyINBoman Irani, Ila Arun, Sammir Dattani, Minissha Lamba"
